"RegionName","City","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12"
"Ramona","Riverside","CA","Riverside","Riverside",7.2289,7.2289,2.8455,4.2471,5.1181,7.2243,6.6667,5.8608,7.0111,8.8525,9.058,11.0749,11.0429,8.6957,7.932,7.3654,7.1429,6.6667,7.9545,7.1633,6.5282,6.5868,6.6445,6.8966,7.0946,4.0678,3.9146,3.7037,4.6875,4.3478,3.9823,3.1818,3.9823,3.1963,3.1746,3.5503,5.5046,6.4815,5.6604,8.2569,4.5045,3.5398,8.1301,12.3967,16.6667,13.2231,11.0092,9.5652,6.8376,9.1667,11.5702,9.375,8.8,12.3967,12.5,14.6552,19.8347,18.797,17.1875
"North End","Saint Paul","MN","Minneapolis-St Paul","Ramsey",8.8889,14.3911,16.1392,19.6375,18.9349,20.597,16.3142,15.7576,18.2663,16.129,17.4089,17.9283,21.6867,25.6809,24.5283,29.562,24.2525,25.5319,25,26.4901,25.5973,25.4355,24.0741,18.0147,18.2143,13.6364,12.6214,11.8541,12.5,13.0573,12.9252,10.5442,11.1888,12.1457,9.8214,9.8039,16.2791,17.4603,14.5299,16.7939,17.1429,19.5946,20.2381,26.7857,32.5301,27.9762,19.1358,15,15.2318,16.1765,20.3125,16.6667,18.75,24.6154,25.3731,26.2069,25.9259,31.25,23.0769
"Highland Hills","San Antonio","TX","San Antonio","Bexar",11.6959,11.4286,12.3656,14.2105,18.1347,18.4615,15.8163,14.4928,15.2778,15.6682,13.7778,11.6071,13.9831,13.3047,17.316,17.5439,22.807,19.469,17.6211,17.9487,16.6667,16.4444,15.534,15.1961,11.2745,12.5604,13.1068,11.0553,12.1951,9.5238,12.0603,11.9617,10.3627,8.8542,11.0465,10.0629,10.2941,9.9338,10.4895,8.2707,9.9237,10,14.4144,19.2661,22.1154,17.1717,14.4444,15.3061,16,17.3469,21.9048,18.3486,14.7059,11.5385,11.8182,14.9123,13.1148,17.0543,10.1563
"Acres Home","Houston","TX","Houston","Harris",9.589,14.4928,17.931,15.493,14.4737,13.6364,7.7348,12.2905,15.0289,13.2184,13.5338,14.4828,14.4578,11.5607,16.6667,13.5135,10.8696,10.4396,9.6618,8.5308,9.9138,8.8,6.6667,5.9633,5.5556,6.7633,8.2524,10.8597,8.7719,8.4388,7.5099,8.8462,10.084,10.6667,8.5,7.1429,9.9237,9.5588,7.8947,10.1351,10.2041,11.8881,11.5942,7.1942,9.6296,11.3475,8.2707,9.375,8.5271,9.7015,11.3475,9.7902,9.7222,8.7838,10.1351,10.4895,9.4891,9.5238,6.9231
"South Boulevard-Park Row Historic","Dallas","TX","Dallas-Fort Worth","Dallas",7.8212,6.3218,6.5217,10.6599,12.4378,6.9124,6.8182,6.25,7.9167,8.0508,11.0619,11.5556,9.1324,5.3333,5.4054,6.1321,7.6555,6.7308,5.9829,3.3473,3.252,3.1873,5.1643,7.3059,6.9106,9.6525,6.3745,7.2581,5.4795,5.7692,5.2632,5,6.4171,3.3333,4.4304,4.0268,5.4545,4.8544,3.9216,3.7037,6.4516,9.6774,15.9574,14.2857,16.6667,13.4831,14.4578,14.8515,13.7255,13,14.2857,16.2393,15.3846,14.7059,11.1111,13.8686,20.1493,18.797,21.0084
"South Natomas","Sacramento","CA","Sacramento","Sacramento",2.2371,2.4775,2.1692,3.1712,4.6843,3.626,4.0968,5.0347,6.8421,7.5092,9.4862,10.5058,11.8421,10.7926,8.3752,6.7002,6.6023,5.1155,5.141,4.5752,4.1118,4.475,5.7041,5.8824,6.1111,3.8462,3.525,3.373,1.6162,1.3514,2.1792,1.5789,0.8696,1.5625,0.3497,0.3922,0.9434,0.9174,2.1053,5.3191,1.0753,3.9216,5.6604,7.4074,5,7.6923,10.0917,12.7273,10.5263,7,5.4945,3.2967,4.9505,7.4074,8.1081,13.3333,12.9496,13.6691,7.8212
"Landmark-Van Dom","Alexandria","VA","Washington","Alexandria City",12.1457,13.6201,15.534,17.1512,17.2316,16.2983,15.9892,16.9533,21.5385,19.3634,17.8042,14.2012,17.9941,13.5447,12.973,12.987,13.3333,14.9871,13.7157,11.8644,12.1891,12.5326,12.5364,11.9186,8.8146,8.1633,6.7606,7.377,9.4488,9.4708,10.6628,11.2717,11.0769,10.9541,7.0632,8.7302,9.205,9.5057,12.585,11.9048,11.1111,12.3626,13.3523,16.1094,14.3312,14.0468,13.41,12.1951,13.4454,13.3858,16.4875,17.757,16.7665,16.9139,17.3021,17.378,18.018,20.7921,17.4074
"San Ysidro","San Diego","CA","San Diego","San Diego",2.9586,1.7442,1.7143,4.9724,6.5217,7.8534,8.2051,8,9.0452,10.7143,11.8343,8.4656,9,5.8537,6.6038,5.3398,4.2453,4.8544,4.5455,4.8889,6.9565,4.661,4.8889,5.2402,4.1475,3.3333,3.5176,3.6458,4.1451,3.4091,2.5,1.8519,1.3245,3.6765,5.9829,7.0707,7.6923,16.6667,13.7931,14.2857,5,1.6949,,7.4074,10.7143,13.5593,11.8421,13.5802,11.25,10.1266,8,4.878,2.381,5.6818,7.4074,8.1081,11.2903,11.4754,16.0714
"Waikiki","Honolulu","HI","Honolulu","Honolulu",10.0162,10.177,11.7007,12.5635,13.6531,13.269,10.125,13.59,12.7613,11.6334,10.8619,8.4687,8.4337,9.6289,11.4965,10.4288,10.8798,10.0559,11.2472,12.0783,11.4316,7.2978,6.1082,6.5833,6.8726,7.2917,7.1556,7.2333,8.2375,9.1734,10.0832,7.3805,7.2805,7.9686,7.4534,6.2257,7.1429,6.3889,8.1575,7.932,8.4703,9.7812,10.7792,8.4932,8.5106,7.109,8.0268,9.106,9.3248,9.1603,8.8106,8.596,9.0014,10.2881,12.9959,12.9834,12.9905,11.2045,9.8097
"University City","Philadelphia","PA","Philadelphia","Philadelphia",10,8.1081,14.6341,13.9535,14.2857,14.6341,13.1579,11.9048,21.0526,10.8108,5.8824,,,5,20,20.5128,19.5652,13.9535,7.1429,9.7561,12.5,15.9091,15.5556,19.0476,15.3846,25,20,19.0476,17.3913,16.6667,10.5263,5.5556,3.125,4,,,,10.5263,9.5238,33.3333,36,40,34.4828,14.2857,13.7931,14.2857,14.8148,8,3.8462,7.4074,4.3478,13.0435,14.2857,16.6667,14.8148,8.6957,20,28.5714,33.3333
"Abbott Loop","Anchorage","AK","Anchorage","Anchorage",12.3919,10.2493,15.1596,17.9747,20.9719,23.7864,24.4706,25.1101,26.3499,21.3675,20.3233,17.5644,14.3204,12.3786,12.7021,16.1504,15.1139,18.7629,19.7452,21.9959,20.332,17.0213,13.1291,9.6703,9.6197,8.4886,9.9792,10.0394,10.2713,14.1243,18.5185,19.2593,20.9393,19.833,14.6512,11.8227,12.1951,14.6214,16.8798,16.3265,16.3551,19.222,20.3501,20.3091,21.4286,18.4615,16.0606,15.9609,15.5709,16.4234,18,17.3529,16.6197,20.3085,21.1196,22.3684,24.0437,22.6586,19.5946
"Rosedale","New York","NY","New York","Queens",3.8314,3.5461,3.9427,4.6667,7.0234,5.5738,4.902,4.886,6.0423,7.3654,7.4405,5.3797,5.5901,6.4897,6.7847,6.414,5.5249,4.3732,4.3103,3.7464,5.6213,5.4496,7.2776,6.1497,6.8293,5.0926,6.4516,6.7757,7.6555,6.0302,4.9869,3.6458,4.5093,3.2787,3.8997,3.3803,4.3307,3.9063,4.6332,5.1852,7.7519,7.377,7.0248,8.1818,6.7873,6.2762,6.8376,6.4,4.8443,3.9474,5.9801,5.3381,6.0345,8.6538,9.816,9.375,9.8684,6.7416,4.5
