"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Tower Triangle","CO","Denver","Arapahoe","Aurora",2309,173500,0.0193889541715629,0.0592185592185592,0.15975935828877,0.0674290798160524,0.00156966243570866,"2014-12","2014-Q4",173500,0,"2014-12"
2014-12-31,"Dongan Hills","NY","New York","Richmond","New York",2310,371600,0.00622799891686975,0.0268029842497928,0.0420639371845205,-0.0070084362270717,0.00543339075091764,"2006-07","2006-Q3",422400,-0.120265151515152,"2005-04"
2014-12-31,"Oakland","IL","Chicago","Cook","Chicago",2311,254700,0.011517077045274,0.0568464730290456,0.149368231046931,-0.0250189591031762,-0.0140454772081423,"2007-03","2007-Q1",331300,-0.231210383338364,"2003-03"
2014-12-31,"Elvehjem","WI","Madison","Dane","Town of Madison",2312,181900,0.00275633958103638,0.00943396226415094,0.0145008365867262,-0.000986627661747064,0.00296135591235869,"2007-06","2007-Q2",190700,-0.0461457787100157,"2005-09"
2014-12-31,"Lakeshore","FL","Jacksonville","Duval","Jacksonville",2313,71700,0.0027972027972028,0.0184659090909091,0.0301724137931034,-0.0533237264277321,-0.0189301189086466,"2007-06","2007-Q2",127500,-0.437647058823529,"2003-08"
2014-12-31,"Reed","OR","Portland","Multnomah","Portland",2314,369100,-0.000812127774769897,0.0131759538841614,-0.000541565123206066,0.0272968026661322,0.0349058804843376,"2014-02","2014-Q1",371400,-0.00619278406031233,"2013-12"
2014-12-31,"Tallyn's Reach","CO","Denver","Arapahoe","Aurora",2315,433400,0.0102564102564103,0.0294536817102138,0.0783777058969893,0.0361446472373201,0.0132624796332694,"2014-12","2014-Q4",433400,0,"2014-12"
2014-12-31,"College Park","AL","Mobile","Mobile","Mobile",2316,292100,-0.00612453215379381,-0.00747536527353041,0.0439599714081487,0.00206684506000165,0.0242341655427127,"2007-06","2007-Q2",310600,-0.0595621377978107,"2006-12"
2014-12-31,"Franklin Park","NJ","Trenton","Mercer","Trenton",2317,85800,0.00233644859813084,0.00468384074941452,0.102827763496144,-0.0530813410737141,-0.016275215848131,"2006-06","2006-Q2",136700,-0.372348207754206,"2003-11"
2014-12-31,"East Phillips","MN","Minneapolis-St Paul","Hennepin","Minneapolis",2318,122500,0.00245499181669394,-0.00162999185004075,-0.0810202550637659,-0.00951798932395298,-0.0289906148249472,"2007-02","2007-Q1",187400,-0.346318036286019,"2002-03"
